Cidade;Equipe;Logo;Conferência;Divisão;NomeCompleto
"Atlanta";"Hawks";"https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg";"Leste";"Sudeste";"Atlanta Hawks"
"Boston";"Celtics";"https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg";"Leste";"Nordeste";"Boston Celtics"
"Brooklyn";"Nets";"https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg";"Leste";"Nordeste";"Brooklyn Nets"
"Charlotte";"Hornets";"https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg";"Leste";"Sudeste";"Charlotte Hornets"
"Chicago";"Bulls";"https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg";"Leste";"Central";"Chicago Bulls"
"Cleveland";"Cavaliers";"https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg";"Leste";"Central";"Cleveland Cavaliers"
"Dallas";"Mavericks";"https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg";"Oeste";"Sudoeste";"Dallas Mavericks"
"Denver";"Nuggets";"https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg";"Oeste";"Noroeste";"Denver Nuggets"
"Detroit";"Pistons";"https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg";"Leste";"Central";"Detroit Pistons"
"Golden State";"Warriors";"https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg";"Oeste";"Pacífico";"Golden State Warriors"
"Houston";"Rockets";"https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg";"Oeste";"Sudoeste";"Houston Rockets"
"Indiana";"Pacers";"https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg";"Leste";"Central";"Indiana Pacers"
"Los Angeles";"Clippers";"https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg";"Oeste";"Pacífico";"Los Angeles Clippers"
"Los Angeles";"Lakers";"https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg";"Oeste";"Pacífico";"Los Angeles Lakers"
"Memphis";"Grizzlies";"https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg";"Oeste";"Sudoeste";"Memphis Grizzlies"
"Miami";"Heat";"https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg";"Leste";"Sudeste";"Miami Heat"
"Milwaukee";"Bucks";"https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg";"Leste";"Central";"Milwaukee Bucks"
"Minnesota";"Timberwolves";"https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg";"Oeste";"Noroeste";"Minnesota Timberwolves"
"New Orleans";"Pelicans";"https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg";"Oeste";"Sudoeste";"New Orleans Pelicans"
"New York";"Knicks";"https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg";"Leste";"Nordeste";"New York Knicks"
"Oklahoma City";"Thunder";"https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg";"Oeste";"Noroeste";"Oklahoma City Thunder"
"Orlando";"Magic";"https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg";"Leste";"Sudeste";"Orlando Magic"
"Philadelphia";"Sixers";"https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg";"Leste";"Nordeste";"Philadelphia 76ers"
"Phoenix";"Suns";"https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg";"Oeste";"Pacífico";"Phoenix Suns"
"Portland";"TrailBlazers";"https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg";"Oeste";"Noroeste";"Portland TrailBlazers"
"Sacramento";"Kings";"https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg";"Oeste";"Pacífico";"Sacramento Kings"
"San Antonio";"Spurs";"https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg";"Oeste";"Sudoeste";"San Antonio Spurs"
"Toronto";"Raptors";"https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg";"Leste";"Nordeste";"Toronto Raptors"
"Utah";"Jazz";"https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg";"Oeste";"Noroeste";"Utah Jazz"
"Washington";"Wizards";"https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg";"Leste";"Sudeste";"Washington Wizards"
